Metagenome,MAG_ID,BGC_ID,class,Predicted_product,lg(TPM),Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B10,BPIAAOIK_41.region001,Hybrid,arylpolyene:resorcinol,2.873968576,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
M24,Aegir_M24_B103,PADGKGNB_66.region001,RiPP,RiPP-like,2.437996,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_202.region001,Hybrid,hglE-KS:T1PKS,2.363565191,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_119.region001,Polyketide,hglE-KS,2.248905096,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_95.region001,Other,arylpolyene,2.160448032,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_47.region001,Polyketide,T3PKS,2.144795408,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B105,ADKELONG_33.region001,RiPP,RRE-containing,2.064903252,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,
M24,Aegir_M24_B106,PABPKNGJ_58.region001,RiPP,thiopeptide,2.495991329,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,
M24,Aegir_M24_B108,JDJMJEBK_133.region001,NRP,NRP generic,3.026176494,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B108,JDJMJEBK_135.region001,NRP,NRP generic,2.536834729,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B108,JDJMJEBK_66.region001,NRP,NRP generic,2.518453695,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B109,EHJJEODD_143.region001,Other,hserlactone,1.577972703,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,
M24,Aegir_M24_B11,CKJGPINA_176.region001,RiPP,RiPP-like,2.626672082,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B110,NLMDFIEA_181.region001,RiPP,RiPP-like,2.473315625,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
