Metagenome,MAG,BGC,class,Predicted product,Domain,Phylum,Class,Order,Family,Genus,Species,M24 lg(GPM),M25 lg(GPM),M26 lg(GPM),M33 lg(GPM),M36 lg(GPM),M37 lg(GPM),M38 lg(GPM),M39 lg(GPM),M42 lg(GPM)
M24,Aegir_M24_B10,BPIAAOIK_41.region001,Hybrid,arylpolyene:resorcinol,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0,2.903462699,3.018593989,0.519342322,0.929161221,3.905454614,2.326801496,2.064792626,3.631766877,0
M24,Aegir_M24_B10,BPIAAOIK_63.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B100,MLOKDKNP_105.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,2.180687485,0,0,0.36608685,0,0,0,0,0
M24,Aegir_M24_B100,MLOKDKNP_145.region001,Hybrid,NRPS-like:T1PKS,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,2.93630164,0,0.675062703,1.694910523,0,0.880461886,0,0,0
M24,Aegir_M24_B101,OAGAJOKM_53.region001,RiPP,RRE-containing,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B102,CLDLOCKN_1.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0,2.901308834,4.058818094,2.00085464,0,2.190313514,0,1.194122426,2.973823958,2.27410922
M24,Aegir_M24_B102,CLDLOCKN_59.region001,Other,betalactone,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0,3.071858522,4.28299277,2.360087124,0,2.256640957,0,1.140474552,3.188474972,2.469659703
M24,Aegir_M24_B102,CLDLOCKN_18.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B103,PADGKGNB_104.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.607722649,0,0,0,0,0,0,0,0
M24,Aegir_M24_B103,PADGKGNB_118.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.340343275,0,0,0,0,0,0,0,0
M24,Aegir_M24_B103,PADGKGNB_119.region001,Polyketide,hglE-KS,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.775365174,0,0.62321207,0.504757192,0,0,0,0,0
M24,Aegir_M24_B103,PADGKGNB_202.region001,Hybrid,hglE-KS:T1PKS,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,3.183603951,0,0,0.619417286,0,0.943271347,0,0,0
M24,Aegir_M24_B103,PADGKGNB_212.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.383625008,0.752389378,0,0,0,1.206142886,0,0,0
M24,Aegir_M24_B103,PADGKGNB_47.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.244406367,0,0,0.467594293,0,0,0,0,0
M24,Aegir_M24_B103,PADGKGNB_66.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.718930745,0,0,0,0,0,0,0,0
M24,Aegir_M24_B103,PADGKGNB_95.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,2.096613258,0,0,0,0,0,0,0,0
M24,Aegir_M24_B105,ADKELONG_17.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0,2.655332521,0,0,0,0,0,0,0,0
M24,Aegir_M24_B105,ADKELONG_27.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0,2.518401841,0.184489545,0,0,0,0,0,0,0
M24,Aegir_M24_B105,ADKELONG_33.region001,RiPP,RRE-containing,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0,2.501064906,0,0.98327827,0,0,0,0,0,0
M24,Aegir_M24_B106,PABPKNGJ_58.region001,RiPP,thiopeptide,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0,3.19445714,0.889805609,0.484947422,0.764432552,1.498315037,1.292406596,0.803153945,1.042943393,0
M24,Aegir_M24_B106,PABPKNGJ_46.region001,RiPP,RRE-containing,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B107,IGCMBEGF_69.region001,RiPP,RiPP-like,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B107,IGCMBEGF_79.region001,RiPP,RRE-containing,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B108,JDJMJEBK_133.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0,2.609243106,0.177683246,0,1.678650556,0,0,0,0,0
M24,Aegir_M24_B108,JDJMJEBK_135.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0,3.169807493,0.127674175,0.677058497,2.190807752,0,0,0.99526502,0,0
M24,Aegir_M24_B108,JDJMJEBK_66.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0,3.646093377,1.556451172,0,0,0,1.466136636,2.993917325,1.517703429,0
M24,Aegir_M24_B109,EHJJEODD_130.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0,1.778343904,0,0.455230805,0.035745931,0,0,0,0,0
M24,Aegir_M24_B109,EHJJEODD_143.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0,1.706228844,-0.053036601,0.797377717,-0.224167149,0,0,0.513524248,0,0
M24,Aegir_M24_B109,EHJJEODD_77.region001,Hybrid,betalactone:hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0,2.402767542,-0.142281941,0,0.832715547,0,0,1.353697834,-0.034901649,0
M24,Aegir_M24_B11,CKJGPINA_108.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.613367073,0,0,0,0,0,1.314609085,2.498881205,0
M24,Aegir_M24_B11,CKJGPINA_158.region001,Other,betalactone,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.56030398,1.137344292,0,1.033160533,0,3.516237928,0,2.248328708,0
M24,Aegir_M24_B11,CKJGPINA_16.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.518807835,0.780847209,0,0,0,0,0,2.521695958,0
M24,Aegir_M24_B11,CKJGPINA_176.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.187565715,0.85736008,0,0.929267581,0,3.096443424,1.122890933,2.175593738,0
M24,Aegir_M24_B11,CKJGPINA_207.region001,RiPP,redox-cofactor,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.819247711,1.47680762,0,0,0,0,0,2.767457756,0
M24,Aegir_M24_B11,CKJGPINA_237.region001,Other,phosphonate,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.650932185,0,0,0,0,0,0.894797001,2.664786147,0
M24,Aegir_M24_B11,CKJGPINA_268.region001,Other,resorcinol,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,1.78337522,0.307041549,0,0,0,0,0,1.618541824,0
M24,Aegir_M24_B11,CKJGPINA_280.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,2.64191969,0,0,0,0,0,0,2.495800975,0
M24,Aegir_M24_B110,NLMDFIEA_168.region001,Terpene,Terpene generic,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,2.25507373,0.50045319,0,0.957711572,0.118722455,0,1.118166562,1.988044725,0
M24,Aegir_M24_B110,NLMDFIEA_175.region001,RiPP,RiPP-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,2.712136817,1.10271135,0,0.785452766,0,0,0,2.52032964,0
M24,Aegir_M24_B110,NLMDFIEA_181.region001,RiPP,RiPP-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,2.976965111,0.666215062,0,1.875295756,0,0,1.986103578,2.752840133,0
M24,Aegir_M24_B110,NLMDFIEA_392.region001,RiPP,RiPP-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,2.530396988,0,0,1.29317388,0,0,1.706354185,2.222350045,0
M24,Aegir_M24_B110,NLMDFIEA_9.region001,NRP,NRPS-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,2.69689521,0.339048787,0,1.51034092,0,0,1.570721373,2.513685969,0
M24,Aegir_M24_B111,PIANMFAJ_110.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,3.167787346,0.497420986,0,0,0,0,2.160891848,0.604801278,0
M24,Aegir_M24_B111,PIANMFAJ_48.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B112,NCOLKFPD_107.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,1.817241132,1.730073546,0,0,0,0,0,1.837453839,1.756832431
M24,Aegir_M24_B112,NCOLKFPD_346.region001,RiPP,RRE-containing,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,1.522171062,1.213154726,0,0,0,0,0,1.445473756,1.026033791
M24,Aegir_M24_B112,NCOLKFPD_378.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,2.692229264,2.668508896,0,0.785571119,1.654152178,0,0,2.354116571,2.552639317
M24,Aegir_M24_B112,NCOLKFPD_502.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,2.493282132,2.301379195,0,0,1.422323819,0,0,2.303125906,2.286745395
M24,Aegir_M24_B112,NCOLKFPD_716.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,2.266762656,2.012458653,0,0,1.019713084,0,0,1.86100663,1.893089502
M24,Aegir_M24_B113,NEOEDNCB_47.region001,Hybrid,arylpolyene:resorcinol,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B113,NEOEDNCB_12.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B114,GDCPMDGF_12.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0,2.135731276,0.256172,0,0.085041453,0,1.914045492,0,1.062522297,0
M24,Aegir_M24_B114,GDCPMDGF_34.region001,Polyketide,T3PKS,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0,2.107908057,0.662171154,0,0.314949347,0,1.961022703,0,0.769551446,0
M24,Aegir_M24_B115,FBCILAEC_199.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B115,FBCILAEC_254.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B116,LFICFLKJ_140.region001,RiPP,RiPP-like,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0,2.426760162,0.455931141,0,0,0,0,0,0,0
